year,inc_q,tenure,n,w_sum,mean_tc001,median_tc001,mean_hhtotinc,median_hhtotinc,mean_cy_ratio,mean_share_necessities,mean_share_shelter,mean_share_discretionary,mean_share_food,mean_share_health,mean_share_clothing,mean_share_transport,mean_shelter_over_inc,mean_mortpay_over_inc,mean_cy_ratio_at
2023,Q1,renter,353,1661547.2287,40169.70590321144,32843.08,26407.2711882528,26692,3.1230293189223293,0.6021957575280109,0.38026010663848064,0.397804242471989,0.18868510024576654,0.03325055064376374,0.03391500130903765,0.11084685867624046,1.1080170810206882,NA,3.182105775091103
2023,Q2,owner_mortgage,278,748254.7498999999,74925.33401845956,65562.36,58511.49879218896,58741,1.297744471785286,0.5967335920768687,0.4109744164491859,0.4032664079231314,0.14369773614461234,0.04206143948307043,0.0320042921824152,0.13556113293015734,0.5143916480751878,0.2900910249115898,1.3967834096143725
2023,Q2,owner_free_clear,494,929745.7359,47735.73331671771,41110.26,55859.25896259205,56476,0.8579006400678248,0.5154579462244409,0.2544040470911598,0.48454205377555915,0.19870744928685427,0.062346449846426746,0.028439479254376097,0.15257100352455896,0.19897397925394741,NA,0.9206142125630442
2023,Q2,renter,310,1454845.4503,56259.83597562682,49160.71,56703.071109699165,56774,1.0091070280089964,0.5574255341930711,0.3346412598099479,0.442574465806929,0.17762948160433517,0.04515479277878799,0.038123664954848806,0.13765264804361577,0.3167445555501293,NA,1.0946016093356226
2023,Q3,owner_mortgage,397,1039939.8047,82973.01880100985,77186.89,90890.74644273263,92794,0.9159842303091096,0.571944764779838,0.3855717650519811,0.4280552352201619,0.14835935991492244,0.038013639812934576,0.030564787940866617,0.13824767914930594,0.3497862897469537,0.1918933970626662,1.0387159159788861
2023,Q3,owner_free_clear,569,917336.0566,60862.80273220033,57245.69,89289.89675325922,89294,0.6888269591315912,0.4799586128473119,0.23365221224702493,0.5200413871526881,0.18321929051212624,0.06308711008816074,0.02976157418109402,0.156147494737732,0.14973173827991926,NA,0.7849558403800561
2023,Q3,renter,242,1174627.1026,69877.88044384823,66245.62,88834.72988048606,87689,0.7917051002330021,0.528070338746286,0.3209677676642511,0.471929661253714,0.16061441238116697,0.04648815870086778,0.03846493935103493,0.15214899329553233,0.23969032773870175,NA,0.8928365352071762
2023,Q4,owner_mortgage,563,1607478.702,102000.9457756604,97156.16,136108.24400131244,138486,0.7565377520883187,0.5536918367199699,0.3681270992776789,0.4463081632800301,0.14835363948842023,0.037211097953870835,0.03003071534714378,0.14343049571373598,0.2750662356775962,0.1532943039025546,0.8937007781431422
2023,Q4,owner_free_clear,502,911084.7862,75585.14594778545,69997.98,135091.83488142534,136832,0.5615429716580691,0.44302255797526896,0.2142465375522549,0.5569774420247311,0.16969572792815132,0.05908029249486271,0.02902629229310853,0.19690428125569645,0.11328995542257735,NA,0.6674996907305192
2023,Q4,renter,140,607693.7226,78124.48616956234,75840.34,132530.52137481168,129129.80000000002,0.5931739393732107,0.5272811223408368,0.3072218039286864,0.47271887765916326,0.17249336855852287,0.04756594985362752,0.05293844069757889,0.15057521612448868,0.1746508573650823,NA,0.6943686733049916
2023,Q5,owner_mortgage,639,1905819.5789,132773.92466886996,124396.18,242251.13982183364,222896,0.5651877286454007,0.543472494154382,0.36384131127414754,0.456527505845618,0.1466354647970558,0.03299571808317862,0.0338786873168323,0.1454096198629365,0.19961217965352349,0.11137307330562438,0.7119625261800084
2023,Q5,owner_free_clear,445,917957.4162,99450.32263507345,89872.52,247734.16305106887,229577,0.41701960910948266,0.4358866706859485,0.20566487752719415,0.5641133293140514,0.17640097023759152,0.05382082292116286,0.034438097321946026,0.17415529379265576,0.08007429674505596,NA,0.5238535345502057
2023,Q5,renter,78,303096.2407,89832.060909508,92828.7,223764.03996981753,197877,0.4279424033626902,0.5323219116571213,0.32795898562610803,0.46767808834287866,0.17757132482331237,0.02679160120770088,0.034541146740168616,0.19435768798781816,0.12388519260710788,NA,0.5266986942647022
