year,wealth_detail,n,mean_nw,mean_inc,mean_IG,mean_IT,mean_NIG,nig_over_inc,mean_ig_stk,mean_ig_bus,mean_ig_bnd,mean_ig_liq,mean_ig_dbt,debt_asset
2019,P40-60,2039,225549.41529232715,72039.86970867797,15647.301614034608,324.8029995583783,15322.498614476232,0.2126947019260152,8853.176835602093,1379.8878273296052,4863.132906552094,-79.29495214792567,630.3989966987423,0.3826806947981277
2019,P60-80,2110,533036.1256198167,85893.19188776953,39461.85519638212,387.2628654050752,39074.592330977044,0.4549207157423258,22052.005691371087,5382.833883339135,11536.267193364522,-156.3771463620105,647.1255746693881,0.21214434673479435
2019,P80-90,1238,1020898.546846877,98200.71381318796,88338.83676985359,442.7532494753405,87896.08352037823,0.8950656274005021,50464.97062231252,12535.08438094795,24967.285781680497,-304.8060541808131,676.3020390934421,0.12810734167598828
2019,P90-95,727,1688382.8479137565,109850.01717940287,164236.22868622618,495.27595240932874,163740.95273381684,1.4905865009233576,91566.12749741692,26655.600972094406,45810.515380078,-579.0737341887366,783.058570825568,0.09327237798388527
2019,P95-99,680,3103085.531880467,142571.4599550571,431664.45415140194,642.8056856860405,431021.6484657159,3.0231972696470044,178394.12688966613,173818.67983699343,79291.27031578482,-729.7067798606795,890.0838888182328,0.05981413137896866
2019,P99-100,195,9974948.439431952,232447.46528585025,1799285.711910755,1048.0256873020337,1798237.6862234527,7.7361036568503145,597571.9009535483,965426.1896243249,236143.71644700866,-1153.845640752811,1297.7505266257806,0.0280465161629907
2023,P0-20,1989,-2381.1313985619395,71880.83272658159,3748.731505547488,2684.698499104278,1064.0330064432094,0.01480273622441952,1560.0600346006493,102.87535843575206,854.0703156703754,-159.2184925203612,1390.9442893610724,1.0683048003432223
2023,P20-40,2541,116637.85944125669,88186.63158070487,20154.64923279657,3293.7086072213565,16860.940625575215,0.1911961067494086,10187.94128197051,1770.9960141975846,5365.7913294735745,-606.3848223371691,3436.305429492071,0.44096765415168
2023,P40-60,3113,389029.7878985281,83942.82898146665,48533.17221324099,3135.205567725315,45397.96664551568,0.540820069997151,25940.196890895342,4613.439247843212,13320.753995497776,-1051.5144308315591,5710.296509836219,0.2821252985820291
2023,P60-80,3583,840494.3850525786,95275.82037820322,108902.38136034553,3558.4848181050747,105343.89654224046,1.1056729411940132,62552.73274464168,11493.998673329803,30801.21645517118,-1981.2058627475938,6035.6393499504475,0.16126210043992315
2023,P80-90,2222,1569030.5272812878,116618.51056062288,261159.08439342622,4355.61927142368,256803.46512200253,2.202081503935055,137142.4177041928,55542.45400440419,65164.70045079991,-3835.6301518300993,7145.142385859377,0.10867578353465704
2023,P90-95,1276,2529582.059177363,153000.36693241991,528090.6006720766,5714.455994525119,522376.1446775514,3.4142149796822667,215033.8498896064,209458.30533579263,99297.61036317672,-5364.90463163904,9665.739715139794,0.09281143172348758
2023,P95-99,1142,4235166.162881709,183032.73977199916,976517.8772557528,6836.143977657545,969681.7332780951,5.29785946757947,403798.64580655633,406989.39139744034,161682.418060514,-7972.949148689766,12020.371139931676,0.07062462634753951
2023,P99-100,375,10333228.946461525,244729.23669641512,3070634.019480034,9140.464704199696,3061493.5547758345,12.509717253658563,1402525.358488621,1183966.1598141675,480223.29044937284,-13192.388615891561,17111.59934376449,0.042455231997806105
